,date,state,fips,cases,deaths,epoch_ms
94,2020-02-12,ARIZONA,4,1,0,1581494400000
95,2020-02-12,CALIFORNIA,6,7,0,1581494400000
96,2020-02-12,ILLINOIS,17,2,0,1581494400000
97,2020-02-12,MASSACHUSETTS,25,1,0,1581494400000
98,2020-02-12,TEXAS,48,1,0,1581494400000
99,2020-02-12,WASHINGTON,53,1,0,1581494400000
100,2020-02-12,WISCONSIN,55,1,0,1581494400000
101,2020-02-13,ARIZONA,4,1,0,1581580800000
102,2020-02-13,CALIFORNIA,6,7,0,1581580800000
103,2020-02-13,ILLINOIS,17,2,0,1581580800000
104,2020-02-13,MASSACHUSETTS,25,1,0,1581580800000
105,2020-02-13,TEXAS,48,2,0,1581580800000
106,2020-02-13,WASHINGTON,53,1,0,1581580800000
107,2020-02-13,WISCONSIN,55,1,0,1581580800000
108,2020-02-14,ARIZONA,4,1,0,1581667200000
109,2020-02-14,CALIFORNIA,6,7,0,1581667200000
110,2020-02-14,ILLINOIS,17,2,0,1581667200000
111,2020-02-14,MASSACHUSETTS,25,1,0,1581667200000
112,2020-02-14,TEXAS,48,2,0,1581667200000
113,2020-02-14,WASHINGTON,53,1,0,1581667200000
114,2020-02-14,WISCONSIN,55,1,0,1581667200000
115,2020-02-15,ARIZONA,4,1,0,1581753600000
116,2020-02-15,CALIFORNIA,6,7,0,1581753600000
117,2020-02-15,ILLINOIS,17,2,0,1581753600000
118,2020-02-15,MASSACHUSETTS,25,1,0,1581753600000
119,2020-02-15,TEXAS,48,2,0,1581753600000
120,2020-02-15,WASHINGTON,53,1,0,1581753600000
121,2020-02-15,WISCONSIN,55,1,0,1581753600000
122,2020-02-16,ARIZONA,4,1,0,1581840000000
123,2020-02-16,CALIFORNIA,6,7,0,1581840000000
124,2020-02-16,ILLINOIS,17,2,0,1581840000000
125,2020-02-16,MASSACHUSETTS,25,1,0,1581840000000
126,2020-02-16,TEXAS,48,2,0,1581840000000
127,2020-02-16,WASHINGTON,53,1,0,1581840000000
128,2020-02-16,WISCONSIN,55,1,0,1581840000000
129,2020-02-17,ARIZONA,4,1,0,1581926400000
130,2020-02-17,CALIFORNIA,6,7,0,1581926400000
131,2020-02-17,ILLINOIS,17,2,0,1581926400000
132,2020-02-17,MASSACHUSETTS,25,1,0,1581926400000
133,2020-02-17,NEBRASKA,31,10,0,1581926400000
134,2020-02-17,TEXAS,48,2,0,1581926400000
135,2020-02-17,WASHINGTON,53,1,0,1581926400000
136,2020-02-17,WISCONSIN,55,1,0,1581926400000
137,2020-02-18,ARIZONA,4,1,0,1582012800000
138,2020-02-18,CALIFORNIA,6,7,0,1582012800000
139,2020-02-18,ILLINOIS,17,2,0,1582012800000
140,2020-02-18,MASSACHUSETTS,25,1,0,1582012800000
141,2020-02-18,NEBRASKA,31,10,0,1582012800000
142,2020-02-18,TEXAS,48,2,0,1582012800000
143,2020-02-18,WASHINGTON,53,1,0,1582012800000
144,2020-02-18,WISCONSIN,55,1,0,1582012800000
145,2020-02-19,ARIZONA,4,1,0,1582099200000
146,2020-02-19,CALIFORNIA,6,7,0,1582099200000
147,2020-02-19,ILLINOIS,17,2,0,1582099200000
148,2020-02-19,MASSACHUSETTS,25,1,0,1582099200000
149,2020-02-19,NEBRASKA,31,10,0,1582099200000
150,2020-02-19,TEXAS,48,2,0,1582099200000
151,2020-02-19,WASHINGTON,53,1,0,1582099200000
152,2020-02-19,WISCONSIN,55,1,0,1582099200000
153,2020-02-20,ARIZONA,4,1,0,1582185600000
154,2020-02-20,CALIFORNIA,6,8,0,1582185600000
155,2020-02-20,ILLINOIS,17,2,0,1582185600000
156,2020-02-20,MASSACHUSETTS,25,1,0,1582185600000
157,2020-02-20,NEBRASKA,31,11,0,1582185600000
158,2020-02-20,TEXAS,48,2,0,1582185600000
159,2020-02-20,WASHINGTON,53,1,0,1582185600000
160,2020-02-20,WISCONSIN,55,1,0,1582185600000
161,2020-02-21,ARIZONA,4,1,0,1582272000000
162,2020-02-21,CALIFORNIA,6,9,0,1582272000000
163,2020-02-21,ILLINOIS,17,2,0,1582272000000
164,2020-02-21,MASSACHUSETTS,25,1,0,1582272000000
165,2020-02-21,NEBRASKA,31,11,0,1582272000000
166,2020-02-21,TEXAS,48,4,0,1582272000000
167,2020-02-21,WASHINGTON,53,1,0,1582272000000
168,2020-02-21,WISCONSIN,55,1,0,1582272000000
169,2020-02-22,ARIZONA,4,1,0,1582358400000
170,2020-02-22,CALIFORNIA,6,9,0,1582358400000
171,2020-02-22,ILLINOIS,17,2,0,1582358400000
172,2020-02-22,MASSACHUSETTS,25,1,0,1582358400000
173,2020-02-22,NEBRASKA,31,11,0,1582358400000
174,2020-02-22,TEXAS,48,4,0,1582358400000
175,2020-02-22,WASHINGTON,53,1,0,1582358400000
176,2020-02-22,WISCONSIN,55,1,0,1582358400000
177,2020-02-23,ARIZONA,4,1,0,1582444800000
178,2020-02-23,CALIFORNIA,6,9,0,1582444800000
179,2020-02-23,ILLINOIS,17,2,0,1582444800000
180,2020-02-23,MASSACHUSETTS,25,1,0,1582444800000
181,2020-02-23,NEBRASKA,31,11,0,1582444800000
182,2020-02-23,TEXAS,48,4,0,1582444800000
183,2020-02-23,WASHINGTON,53,1,0,1582444800000
184,2020-02-23,WISCONSIN,55,1,0,1582444800000
